,SummerHDP,SummerLD-TOU,SummerMildHDP,SummerHDPg,FallHDP,FallHDPg,WinterHDP,WinterHDPg,SpringHDP,SpringHDPg,TwoPeakHDP
0,0.0864,0.031,0.1837,0.4201,0.2052,0.42,0.0718,0.4034,0.1714,0.4003,0.1714
1,0.0587,0.031,0.1716,0.4216,0.1284,0.4229,0.0445,0.4084,0.144,0.4015,0.144
2,0.0385,0.031,0.1628,0.421,0.0792,0.4254,0.0202,0.4054,0.1385,0.4127,0.1385
3,0.0246,0.031,0.1567,0.4224,0.0531,0.4302,0.011,0.4067,0.1518,0.4162,0.1518
4,0.0165,0.031,0.1532,0.4277,0.0551,0.4358,0.0331,0.4014,0.1829,0.4168,0.1829
5,0.0215,0.031,0.1554,0.4295,0.1193,0.4379,0.11,0.4085,0.2713,0.4042,0.2713
6,0.0359,0.031,0.1616,0.4266,0.2737,0.4421,0.2672,0.4314,0.4659,0.4259,0.4659
7,0.0206,0.031,0.155,0.4215,0.27,0.4476,0.3077,0.4605,0.5328,0.2931,0.5328
8,0.0106,0.031,0.1506,0.4014,0.0916,0.3075,0.2163,0.3353,0.28,0.2025,0.28
9,0.0192,0.031,0.1544,0.3848,0.011,0.2062,0.1584,0.3692,0.1158,0.0369,0.1158
10,0.0309,0.031,0.1595,0.3862,0.0389,0.2362,0.1264,0.454,0.0398,0.022,0.0398
11,0.0612,0.031,0.1727,0.3994,0.0238,0.2906,0.1047,0.448,0.0196,0.0222,0.0196
12,0.0925,0.031,0.1864,0.4211,0.0366,0.3834,0.1318,0.3315,0.011,0.0222,0.011
13,0.1244,0.031,0.2003,0.4017,0.0611,0.3224,0.1835,0.296,0.0188,0.0215,0.0188
14,0.1667,0.2637,0.2188,0.4372,0.0998,0.3166,0.2485,0.0669,0.0255,0.0212,0.0255
15,0.2148,0.2637,0.2398,0.4249,0.1888,0.4028,0.3123,0.3313,0.0632,0.0219,0.0632
16,0.3563,0.6982,0.3016,0.4309,0.3046,0.4318,0.3961,0.4384,0.0957,0.2145,0.0957
17,0.4893,0.6982,0.3597,0.433,0.5198,0.4383,0.5254,0.4406,0.2358,0.4305,0.2358
18,0.7098,0.6982,0.4561,0.4439,0.7248,0.4381,0.4974,0.4403,0.4931,0.4242,0.4931
19,0.7882,0.6982,0.4904,0.4428,0.6936,0.4359,0.4525,0.4303,0.6618,0.4241,0.6618
20,0.5586,0.6982,0.39,0.4364,0.4961,0.4238,0.3918,0.4116,0.5364,0.421,0.5364
21,0.3326,0.2637,0.2913,0.4323,0.3569,0.423,0.3113,0.4151,0.4116,0.4171,0.4116
22,0.2152,0.2637,0.24,0.4271,0.1822,0.422,0.1998,0.4076,0.2905,0.4119,0.2905
23,0.1487,0.031,0.2109,0.4228,0.0413,0.4223,0.1106,0.4208,0.2209,0.4091,0.2209
24,0.0864,0.031,0.1837,0.4201,0.2052,0.42,0.0718,0.4034,0.1714,0.4003,0.1714
25,0.0587,0.031,0.1716,0.4216,0.1284,0.4229,0.0445,0.4084,0.144,0.4015,0.144
26,0.0385,0.031,0.1628,0.421,0.0792,0.4254,0.0202,0.4054,0.1385,0.4127,0.1385
27,0.0246,0.031,0.1567,0.4224,0.0531,0.4302,0.011,0.4067,0.1518,0.4162,0.1518
28,0.0165,0.031,0.1532,0.4277,0.0551,0.4358,0.0331,0.4014,0.1829,0.4168,0.1829
29,0.0215,0.031,0.1554,0.4295,0.1193,0.4379,0.11,0.4085,0.2713,0.4042,0.2713
30,0.0359,0.031,0.1616,0.4266,0.2737,0.4421,0.2672,0.4314,0.4659,0.4259,0.4659
31,0.0206,0.031,0.155,0.4215,0.27,0.4476,0.3077,0.4605,0.5328,0.2931,0.5328
32,0.0106,0.031,0.1506,0.4014,0.0916,0.3075,0.2163,0.3353,0.28,0.2025,0.28
33,0.0192,0.031,0.1544,0.3848,0.011,0.2062,0.1584,0.3692,0.1158,0.0369,0.1158
34,0.0309,0.031,0.1595,0.3862,0.0389,0.2362,0.1264,0.454,0.0398,0.022,0.0398
35,0.0612,0.031,0.1727,0.3994,0.0238,0.2906,0.1047,0.448,0.0196,0.0222,0.0196
36,0.0925,0.031,0.1864,0.4211,0.0366,0.3834,0.1318,0.3315,0.011,0.0222,0.011
37,0.1244,0.031,0.2003,0.4017,0.0611,0.3224,0.1835,0.296,0.0188,0.0215,0.0188
38,0.1667,0.2637,0.2188,0.4372,0.0998,0.3166,0.2485,0.0669,0.0255,0.0212,0.0255
39,0.2148,0.2637,0.2398,0.4249,0.1888,0.4028,0.3123,0.3313,0.0632,0.0219,0.0632
40,0.3563,0.6982,0.3016,0.4309,0.3046,0.4318,0.3961,0.4384,0.0957,0.2145,0.0957
41,0.4893,0.6982,0.3597,0.433,0.5198,0.4383,0.5254,0.4406,0.2358,0.4305,0.2358
42,0.7098,0.6982,0.4561,0.4439,0.7248,0.4381,0.4974,0.4403,0.4931,0.4242,0.4931
43,0.7882,0.6982,0.4904,0.4428,0.6936,0.4359,0.4525,0.4303,0.6618,0.4241,0.6618
44,0.5586,0.6982,0.39,0.4364,0.4961,0.4238,0.3918,0.4116,0.5364,0.421,0.5364
45,0.3326,0.2637,0.2913,0.4323,0.3569,0.423,0.3113,0.4151,0.4116,0.4171,0.4116
46,0.2152,0.2637,0.24,0.4271,0.1822,0.422,0.1998,0.4076,0.2905,0.4119,0.2905
47,0.1487,0.031,0.2109,0.4228,0.0413,0.4223,0.1106,0.4208,0.2209,0.4091,0.2209
48,0.0864,0.031,0.1837,0.4201,0.2052,0.42,0.0718,0.4034,0.1714,0.4003,0.1714
49,0.0587,0.031,0.1716,0.4216,0.1284,0.4229,0.0445,0.4084,0.144,0.4015,0.144
50,0.0385,0.031,0.1628,0.421,0.0792,0.4254,0.0202,0.4054,0.1385,0.4127,0.1385
51,0.0246,0.031,0.1567,0.4224,0.0531,0.4302,0.011,0.4067,0.1518,0.4162,0.1518
52,0.0165,0.031,0.1532,0.4277,0.0551,0.4358,0.0331,0.4014,0.1829,0.4168,0.1829
53,0.0215,0.031,0.1554,0.4295,0.1193,0.4379,0.11,0.4085,0.2713,0.4042,0.2713
54,0.0359,0.031,0.1616,0.4266,0.2737,0.4421,0.2672,0.4314,0.4659,0.4259,0.4659
55,0.0206,0.031,0.155,0.4215,0.27,0.4476,0.3077,0.4605,0.5328,0.2931,0.5328
56,0.0106,0.031,0.1506,0.4014,0.0916,0.3075,0.2163,0.3353,0.28,0.2025,0.28
57,0.0192,0.031,0.1544,0.3848,0.011,0.2062,0.1584,0.3692,0.1158,0.0369,0.1158
58,0.0309,0.031,0.1595,0.3862,0.0389,0.2362,0.1264,0.454,0.0398,0.022,0.0398
59,0.0612,0.031,0.1727,0.3994,0.0238,0.2906,0.1047,0.448,0.0196,0.0222,0.0196
60,0.0925,0.031,0.1864,0.4211,0.0366,0.3834,0.1318,0.3315,0.011,0.0222,0.011
61,0.1244,0.031,0.2003,0.4017,0.0611,0.3224,0.1835,0.296,0.0188,0.0215,0.0188
62,0.1667,0.2637,0.2188,0.4372,0.0998,0.3166,0.2485,0.0669,0.0255,0.0212,0.0255
63,0.2148,0.2637,0.2398,0.4249,0.1888,0.4028,0.3123,0.3313,0.0632,0.0219,0.0632
64,0.3563,0.6982,0.3016,0.4309,0.3046,0.4318,0.3961,0.4384,0.0957,0.2145,0.0957
65,0.4893,0.6982,0.3597,0.433,0.5198,0.4383,0.5254,0.4406,0.2358,0.4305,0.2358
66,0.7098,0.6982,0.4561,0.4439,0.7248,0.4381,0.4974,0.4403,0.4931,0.4242,0.4931
67,0.7882,0.6982,0.4904,0.4428,0.6936,0.4359,0.4525,0.4303,0.6618,0.4241,0.6618
68,0.5586,0.6982,0.39,0.4364,0.4961,0.4238,0.3918,0.4116,0.5364,0.421,0.5364
69,0.3326,0.2637,0.2913,0.4323,0.3569,0.423,0.3113,0.4151,0.4116,0.4171,0.4116
70,0.2152,0.2637,0.24,0.4271,0.1822,0.422,0.1998,0.4076,0.2905,0.4119,0.2905
71,0.1487,0.031,0.2109,0.4228,0.0413,0.4223,0.1106,0.4208,0.2209,0.4091,0.2209
72,0.0864,0.031,0.1837,0.4201,0.2052,0.42,0.0718,0.4034,0.1714,0.4003,0.1714
73,0.0587,0.031,0.1716,0.4216,0.1284,0.4229,0.0445,0.4084,0.144,0.4015,0.144
74,0.0385,0.031,0.1628,0.421,0.0792,0.4254,0.0202,0.4054,0.1385,0.4127,0.1385
75,0.0246,0.031,0.1567,0.4224,0.0531,0.4302,0.011,0.4067,0.1518,0.4162,0.1518
76,0.0165,0.031,0.1532,0.4277,0.0551,0.4358,0.0331,0.4014,0.1829,0.4168,0.1829
77,0.0215,0.031,0.1554,0.4295,0.1193,0.4379,0.11,0.4085,0.2713,0.4042,0.2713
78,0.0359,0.031,0.1616,0.4266,0.2737,0.4421,0.2672,0.4314,0.4659,0.4259,0.4659
79,0.0206,0.031,0.155,0.4215,0.27,0.4476,0.3077,0.4605,0.5328,0.2931,0.5328
80,0.0106,0.031,0.1506,0.4014,0.0916,0.3075,0.2163,0.3353,0.28,0.2025,0.28
81,0.0192,0.031,0.1544,0.3848,0.011,0.2062,0.1584,0.3692,0.1158,0.0369,0.1158
82,0.0309,0.031,0.1595,0.3862,0.0389,0.2362,0.1264,0.454,0.0398,0.022,0.0398
83,0.0612,0.031,0.1727,0.3994,0.0238,0.2906,0.1047,0.448,0.0196,0.0222,0.0196
84,0.0925,0.031,0.1864,0.4211,0.0366,0.3834,0.1318,0.3315,0.011,0.0222,0.011
85,0.1244,0.031,0.2003,0.4017,0.0611,0.3224,0.1835,0.296,0.0188,0.0215,0.0188
86,0.1667,0.2637,0.2188,0.4372,0.0998,0.3166,0.2485,0.0669,0.0255,0.0212,0.0255
87,0.2148,0.2637,0.2398,0.4249,0.1888,0.4028,0.3123,0.3313,0.0632,0.0219,0.0632
88,0.3563,0.6982,0.3016,0.4309,0.3046,0.4318,0.3961,0.4384,0.0957,0.2145,0.0957
89,0.4893,0.6982,0.3597,0.433,0.5198,0.4383,0.5254,0.4406,0.2358,0.4305,0.2358
90,0.7098,0.6982,0.4561,0.4439,0.7248,0.4381,0.4974,0.4403,0.4931,0.4242,0.4931
91,0.7882,0.6982,0.4904,0.4428,0.6936,0.4359,0.4525,0.4303,0.6618,0.4241,0.6618
92,0.5586,0.6982,0.39,0.4364,0.4961,0.4238,0.3918,0.4116,0.5364,0.421,0.5364
93,0.3326,0.2637,0.2913,0.4323,0.3569,0.423,0.3113,0.4151,0.4116,0.4171,0.4116
94,0.2152,0.2637,0.24,0.4271,0.1822,0.422,0.1998,0.4076,0.2905,0.4119,0.2905
95,0.1487,0.031,0.2109,0.4228,0.0413,0.4223,0.1106,0.4208,0.2209,0.4091,0.2209
96,0.0864,0.031,0.1837,0.4201,0.2052,0.42,0.0718,0.4034,0.1714,0.4003,0.1714
97,0.0587,0.031,0.1716,0.4216,0.1284,0.4229,0.0445,0.4084,0.144,0.4015,0.144
98,0.0385,0.031,0.1628,0.421,0.0792,0.4254,0.0202,0.4054,0.1385,0.4127,0.1385
99,0.0246,0.031,0.1567,0.4224,0.0531,0.4302,0.011,0.4067,0.1518,0.4162,0.1518
100,0.0165,0.031,0.1532,0.4277,0.0551,0.4358,0.0331,0.4014,0.1829,0.4168,0.1829
101,0.0215,0.031,0.1554,0.4295,0.1193,0.4379,0.11,0.4085,0.2713,0.4042,0.2713
102,0.0359,0.031,0.1616,0.4266,0.2737,0.4421,0.2672,0.4314,0.4659,0.4259,0.4659
103,0.0206,0.031,0.155,0.4215,0.27,0.4476,0.3077,0.4605,0.5328,0.2931,0.5328
104,0.0106,0.031,0.1506,0.4014,0.0916,0.3075,0.2163,0.3353,0.28,0.2025,0.28
105,0.0192,0.031,0.1544,0.3848,0.011,0.2062,0.1584,0.3692,0.1158,0.0369,0.1158
106,0.0309,0.031,0.1595,0.3862,0.0389,0.2362,0.1264,0.454,0.0398,0.022,0.0398
107,0.0612,0.031,0.1727,0.3994,0.0238,0.2906,0.1047,0.448,0.0196,0.0222,0.0196
108,0.0925,0.031,0.1864,0.4211,0.0366,0.3834,0.1318,0.3315,0.011,0.0222,0.011
109,0.1244,0.031,0.2003,0.4017,0.0611,0.3224,0.1835,0.296,0.0188,0.0215,0.0188
110,0.1667,0.2637,0.2188,0.4372,0.0998,0.3166,0.2485,0.0669,0.0255,0.0212,0.0255
111,0.2148,0.2637,0.2398,0.4249,0.1888,0.4028,0.3123,0.3313,0.0632,0.0219,0.0632
112,0.3563,0.6982,0.3016,0.4309,0.3046,0.4318,0.3961,0.4384,0.0957,0.2145,0.0957
113,0.4893,0.6982,0.3597,0.433,0.5198,0.4383,0.5254,0.4406,0.2358,0.4305,0.2358
114,0.7098,0.6982,0.4561,0.4439,0.7248,0.4381,0.4974,0.4403,0.4931,0.4242,0.4931
115,0.7882,0.6982,0.4904,0.4428,0.6936,0.4359,0.4525,0.4303,0.6618,0.4241,0.6618
116,0.5586,0.6982,0.39,0.4364,0.4961,0.4238,0.3918,0.4116,0.5364,0.421,0.5364
117,0.3326,0.2637,0.2913,0.4323,0.3569,0.423,0.3113,0.4151,0.4116,0.4171,0.4116
118,0.2152,0.2637,0.24,0.4271,0.1822,0.422,0.1998,0.4076,0.2905,0.4119,0.2905
119,0.1487,0.031,0.2109,0.4228,0.0413,0.4223,0.1106,0.4208,0.2209,0.4091,0.2209
120,0.0864,0.031,0.1837,0.4201,0.2052,0.42,0.0718,0.4034,0.1714,0.4003,0.1714
121,0.0587,0.031,0.1716,0.4216,0.1284,0.4229,0.0445,0.4084,0.144,0.4015,0.144
122,0.0385,0.031,0.1628,0.421,0.0792,0.4254,0.0202,0.4054,0.1385,0.4127,0.1385
123,0.0246,0.031,0.1567,0.4224,0.0531,0.4302,0.011,0.4067,0.1518,0.4162,0.1518
124,0.0165,0.031,0.1532,0.4277,0.0551,0.4358,0.0331,0.4014,0.1829,0.4168,0.1829
125,0.0215,0.031,0.1554,0.4295,0.1193,0.4379,0.11,0.4085,0.2713,0.4042,0.2713
126,0.0359,0.031,0.1616,0.4266,0.2737,0.4421,0.2672,0.4314,0.4659,0.4259,0.4659
127,0.0206,0.031,0.155,0.4215,0.27,0.4476,0.3077,0.4605,0.5328,0.2931,0.5328
128,0.0106,0.031,0.1506,0.4014,0.0916,0.3075,0.2163,0.3353,0.28,0.2025,0.28
129,0.0192,0.031,0.1544,0.3848,0.011,0.2062,0.1584,0.3692,0.1158,0.0369,0.1158
130,0.0309,0.031,0.1595,0.3862,0.0389,0.2362,0.1264,0.454,0.0398,0.022,0.0398
131,0.0612,0.031,0.1727,0.3994,0.0238,0.2906,0.1047,0.448,0.0196,0.0222,0.0196
132,0.0925,0.031,0.1864,0.4211,0.0366,0.3834,0.1318,0.3315,0.011,0.0222,0.011
133,0.1244,0.031,0.2003,0.4017,0.0611,0.3224,0.1835,0.296,0.0188,0.0215,0.0188
134,0.1667,0.2637,0.2188,0.4372,0.0998,0.3166,0.2485,0.0669,0.0255,0.0212,0.0255
135,0.2148,0.2637,0.2398,0.4249,0.1888,0.4028,0.3123,0.3313,0.0632,0.0219,0.0632
136,0.3563,0.6982,0.3016,0.4309,0.3046,0.4318,0.3961,0.4384,0.0957,0.2145,0.0957
137,0.4893,0.6982,0.3597,0.433,0.5198,0.4383,0.5254,0.4406,0.2358,0.4305,0.2358
138,0.7098,0.6982,0.4561,0.4439,0.7248,0.4381,0.4974,0.4403,0.4931,0.4242,0.4931
139,0.7882,0.6982,0.4904,0.4428,0.6936,0.4359,0.4525,0.4303,0.6618,0.4241,0.6618
140,0.5586,0.6982,0.39,0.4364,0.4961,0.4238,0.3918,0.4116,0.5364,0.421,0.5364
141,0.3326,0.2637,0.2913,0.4323,0.3569,0.423,0.3113,0.4151,0.4116,0.4171,0.4116
142,0.2152,0.2637,0.24,0.4271,0.1822,0.422,0.1998,0.4076,0.2905,0.4119,0.2905
143,0.1487,0.031,0.2109,0.4228,0.0413,0.4223,0.1106,0.4208,0.2209,0.4091,0.2209
144,0.0864,0.031,0.1837,0.4201,0.2052,0.42,0.0718,0.4034,0.1714,0.4003,0.1714
145,0.0587,0.031,0.1716,0.4216,0.1284,0.4229,0.0445,0.4084,0.144,0.4015,0.144
146,0.0385,0.031,0.1628,0.421,0.0792,0.4254,0.0202,0.4054,0.1385,0.4127,0.1385
147,0.0246,0.031,0.1567,0.4224,0.0531,0.4302,0.011,0.4067,0.1518,0.4162,0.1518
148,0.0165,0.031,0.1532,0.4277,0.0551,0.4358,0.0331,0.4014,0.1829,0.4168,0.1829
149,0.0215,0.031,0.1554,0.4295,0.1193,0.4379,0.11,0.4085,0.2713,0.4042,0.2713
150,0.0359,0.031,0.1616,0.4266,0.2737,0.4421,0.2672,0.4314,0.4659,0.4259,0.4659
151,0.0206,0.031,0.155,0.4215,0.27,0.4476,0.3077,0.4605,0.5328,0.2931,0.5328
152,0.0106,0.031,0.1506,0.4014,0.0916,0.3075,0.2163,0.3353,0.28,0.2025,0.28
153,0.0192,0.031,0.1544,0.3848,0.011,0.2062,0.1584,0.3692,0.1158,0.0369,0.1158
154,0.0309,0.031,0.1595,0.3862,0.0389,0.2362,0.1264,0.454,0.0398,0.022,0.0398
155,0.0612,0.031,0.1727,0.3994,0.0238,0.2906,0.1047,0.448,0.0196,0.0222,0.0196
156,0.0925,0.031,0.1864,0.4211,0.0366,0.3834,0.1318,0.3315,0.011,0.0222,0.011
157,0.1244,0.031,0.2003,0.4017,0.0611,0.3224,0.1835,0.296,0.0188,0.0215,0.0188
158,0.1667,0.2637,0.2188,0.4372,0.0998,0.3166,0.2485,0.0669,0.0255,0.0212,0.0255
159,0.2148,0.2637,0.2398,0.4249,0.1888,0.4028,0.3123,0.3313,0.0632,0.0219,0.0632
160,0.3563,0.6982,0.3016,0.4309,0.3046,0.4318,0.3961,0.4384,0.0957,0.2145,0.0957
161,0.4893,0.6982,0.3597,0.433,0.5198,0.4383,0.5254,0.4406,0.2358,0.4305,0.2358
162,0.7098,0.6982,0.4561,0.4439,0.7248,0.4381,0.4974,0.4403,0.4931,0.4242,0.4931
163,0.7882,0.6982,0.4904,0.4428,0.6936,0.4359,0.4525,0.4303,0.6618,0.4241,0.6618
164,0.5586,0.6982,0.39,0.4364,0.4961,0.4238,0.3918,0.4116,0.5364,0.421,0.5364
165,0.3326,0.2637,0.2913,0.4323,0.3569,0.423,0.3113,0.4151,0.4116,0.4171,0.4116
166,0.2152,0.2637,0.24,0.4271,0.1822,0.422,0.1998,0.4076,0.2905,0.4119,0.2905
167,0.1487,0.031,0.2109,0.4228,0.0413,0.4223,0.1106,0.4208,0.2209,0.4091,0.2209
168,0.0864,0.031,0.1837,0.4201,0.2052,0.42,0.0718,0.4034,0.1714,0.4003,0.1714
169,0.0587,0.031,0.1716,0.4216,0.1284,0.4229,0.0445,0.4084,0.144,0.4015,0.144
170,0.0385,0.031,0.1628,0.421,0.0792,0.4254,0.0202,0.4054,0.1385,0.4127,0.1385
171,0.0246,0.031,0.1567,0.4224,0.0531,0.4302,0.011,0.4067,0.1518,0.4162,0.1518
172,0.0165,0.031,0.1532,0.4277,0.0551,0.4358,0.0331,0.4014,0.1829,0.4168,0.1829
173,0.0215,0.031,0.1554,0.4295,0.1193,0.4379,0.11,0.4085,0.2713,0.4042,0.2713
174,0.0359,0.031,0.1616,0.4266,0.2737,0.4421,0.2672,0.4314,0.4659,0.4259,0.4659
175,0.0206,0.031,0.155,0.4215,0.27,0.4476,0.3077,0.4605,0.5328,0.2931,0.5328
176,0.0106,0.031,0.1506,0.4014,0.0916,0.3075,0.2163,0.3353,0.28,0.2025,0.28
177,0.0192,0.031,0.1544,0.3848,0.011,0.2062,0.1584,0.3692,0.1158,0.0369,0.1158
178,0.0309,0.031,0.1595,0.3862,0.0389,0.2362,0.1264,0.454,0.0398,0.022,0.0398
179,0.0612,0.031,0.1727,0.3994,0.0238,0.2906,0.1047,0.448,0.0196,0.0222,0.0196
180,0.0925,0.031,0.1864,0.4211,0.0366,0.3834,0.1318,0.3315,0.011,0.0222,0.011
181,0.1244,0.031,0.2003,0.4017,0.0611,0.3224,0.1835,0.296,0.0188,0.0215,0.0188
182,0.1667,0.2637,0.2188,0.4372,0.0998,0.3166,0.2485,0.0669,0.0255,0.0212,0.0255
183,0.2148,0.2637,0.2398,0.4249,0.1888,0.4028,0.3123,0.3313,0.0632,0.0219,0.0632
184,0.3563,0.6982,0.3016,0.4309,0.3046,0.4318,0.3961,0.4384,0.0957,0.2145,0.0957
185,0.4893,0.6982,0.3597,0.433,0.5198,0.4383,0.5254,0.4406,0.2358,0.4305,0.2358
186,0.7098,0.6982,0.4561,0.4439,0.7248,0.4381,0.4974,0.4403,0.4931,0.4242,0.4931
187,0.7882,0.6982,0.4904,0.4428,0.6936,0.4359,0.4525,0.4303,0.6618,0.4241,0.6618
188,0.5586,0.6982,0.39,0.4364,0.4961,0.4238,0.3918,0.4116,0.5364,0.421,0.5364
189,0.3326,0.2637,0.2913,0.4323,0.3569,0.423,0.3113,0.4151,0.4116,0.4171,0.4116
190,0.2152,0.2637,0.24,0.4271,0.1822,0.422,0.1998,0.4076,0.2905,0.4119,0.2905
191,0.1487,0.031,0.2109,0.4228,0.0413,0.4223,0.1106,0.4208,0.2209,0.4091,0.2209
192,0.0864,0.031,0.1837,0.4201,0.2052,0.42,0.0718,0.4034,0.1714,0.4003,0.1714
193,0.0587,0.031,0.1716,0.4216,0.1284,0.4229,0.0445,0.4084,0.144,0.4015,0.144
194,0.0385,0.031,0.1628,0.421,0.0792,0.4254,0.0202,0.4054,0.1385,0.4127,0.1385
195,0.0246,0.031,0.1567,0.4224,0.0531,0.4302,0.011,0.4067,0.1518,0.4162,0.1518
196,0.0165,0.031,0.1532,0.4277,0.0551,0.4358,0.0331,0.4014,0.1829,0.4168,0.1829
197,0.0215,0.031,0.1554,0.4295,0.1193,0.4379,0.11,0.4085,0.2713,0.4042,0.2713
198,0.0359,0.031,0.1616,0.4266,0.2737,0.4421,0.2672,0.4314,0.4659,0.4259,0.4659
199,0.0206,0.031,0.155,0.4215,0.27,0.4476,0.3077,0.4605,0.5328,0.2931,0.5328
200,0.0106,0.031,0.1506,0.4014,0.0916,0.3075,0.2163,0.3353,0.28,0.2025,0.28
201,0.0192,0.031,0.1544,0.3848,0.011,0.2062,0.1584,0.3692,0.1158,0.0369,0.1158
202,0.0309,0.031,0.1595,0.3862,0.0389,0.2362,0.1264,0.454,0.0398,0.022,0.0398
203,0.0612,0.031,0.1727,0.3994,0.0238,0.2906,0.1047,0.448,0.0196,0.0222,0.0196
204,0.0925,0.031,0.1864,0.4211,0.0366,0.3834,0.1318,0.3315,0.011,0.0222,0.011
205,0.1244,0.031,0.2003,0.4017,0.0611,0.3224,0.1835,0.296,0.0188,0.0215,0.0188
206,0.1667,0.2637,0.2188,0.4372,0.0998,0.3166,0.2485,0.0669,0.0255,0.0212,0.0255
207,0.2148,0.2637,0.2398,0.4249,0.1888,0.4028,0.3123,0.3313,0.0632,0.0219,0.0632
208,0.3563,0.6982,0.3016,0.4309,0.3046,0.4318,0.3961,0.4384,0.0957,0.2145,0.0957
209,0.4893,0.6982,0.3597,0.433,0.5198,0.4383,0.5254,0.4406,0.2358,0.4305,0.2358
210,0.7098,0.6982,0.4561,0.4439,0.7248,0.4381,0.4974,0.4403,0.4931,0.4242,0.4931
211,0.7882,0.6982,0.4904,0.4428,0.6936,0.4359,0.4525,0.4303,0.6618,0.4241,0.6618
212,0.5586,0.6982,0.39,0.4364,0.4961,0.4238,0.3918,0.4116,0.5364,0.421,0.5364
213,0.3326,0.2637,0.2913,0.4323,0.3569,0.423,0.3113,0.4151,0.4116,0.4171,0.4116
214,0.2152,0.2637,0.24,0.4271,0.1822,0.422,0.1998,0.4076,0.2905,0.4119,0.2905
215,0.1487,0.031,0.2109,0.4228,0.0413,0.4223,0.1106,0.4208,0.2209,0.4091,0.2209
216,0.0864,0.031,0.1837,0.4201,0.2052,0.42,0.0718,0.4034,0.1714,0.4003,0.1714
217,0.0587,0.031,0.1716,0.4216,0.1284,0.4229,0.0445,0.4084,0.144,0.4015,0.144
218,0.0385,0.031,0.1628,0.421,0.0792,0.4254,0.0202,0.4054,0.1385,0.4127,0.1385
219,0.0246,0.031,0.1567,0.4224,0.0531,0.4302,0.011,0.4067,0.1518,0.4162,0.1518
220,0.0165,0.031,0.1532,0.4277,0.0551,0.4358,0.0331,0.4014,0.1829,0.4168,0.1829
221,0.0215,0.031,0.1554,0.4295,0.1193,0.4379,0.11,0.4085,0.2713,0.4042,0.2713
222,0.0359,0.031,0.1616,0.4266,0.2737,0.4421,0.2672,0.4314,0.4659,0.4259,0.4659
223,0.0206,0.031,0.155,0.4215,0.27,0.4476,0.3077,0.4605,0.5328,0.2931,0.5328
224,0.0106,0.031,0.1506,0.4014,0.0916,0.3075,0.2163,0.3353,0.28,0.2025,0.28
225,0.0192,0.031,0.1544,0.3848,0.011,0.2062,0.1584,0.3692,0.1158,0.0369,0.1158
226,0.0309,0.031,0.1595,0.3862,0.0389,0.2362,0.1264,0.454,0.0398,0.022,0.0398
227,0.0612,0.031,0.1727,0.3994,0.0238,0.2906,0.1047,0.448,0.0196,0.0222,0.0196
228,0.0925,0.031,0.1864,0.4211,0.0366,0.3834,0.1318,0.3315,0.011,0.0222,0.011
229,0.1244,0.031,0.2003,0.4017,0.0611,0.3224,0.1835,0.296,0.0188,0.0215,0.0188
230,0.1667,0.2637,0.2188,0.4372,0.0998,0.3166,0.2485,0.0669,0.0255,0.0212,0.0255
231,0.2148,0.2637,0.2398,0.4249,0.1888,0.4028,0.3123,0.3313,0.0632,0.0219,0.0632
232,0.3563,0.6982,0.3016,0.4309,0.3046,0.4318,0.3961,0.4384,0.0957,0.2145,0.0957
233,0.4893,0.6982,0.3597,0.433,0.5198,0.4383,0.5254,0.4406,0.2358,0.4305,0.2358
234,0.7098,0.6982,0.4561,0.4439,0.7248,0.4381,0.4974,0.4403,0.4931,0.4242,0.4931
235,0.7882,0.6982,0.4904,0.4428,0.6936,0.4359,0.4525,0.4303,0.6618,0.4241,0.6618
236,0.5586,0.6982,0.39,0.4364,0.4961,0.4238,0.3918,0.4116,0.5364,0.421,0.5364
237,0.3326,0.2637,0.2913,0.4323,0.3569,0.423,0.3113,0.4151,0.4116,0.4171,0.4116
238,0.2152,0.2637,0.24,0.4271,0.1822,0.422,0.1998,0.4076,0.2905,0.4119,0.2905
239,0.1487,0.031,0.2109,0.4228,0.0413,0.4223,0.1106,0.4208,0.2209,0.4091,0.2209
240,0.0864,0.031,0.1837,0.4201,0.2052,0.42,0.0718,0.4034,0.1714,0.4003,0.1714
241,0.0587,0.031,0.1716,0.4216,0.1284,0.4229,0.0445,0.4084,0.144,0.4015,0.144
242,0.0385,0.031,0.1628,0.421,0.0792,0.4254,0.0202,0.4054,0.1385,0.4127,0.1385
243,0.0246,0.031,0.1567,0.4224,0.0531,0.4302,0.011,0.4067,0.1518,0.4162,0.1518
244,0.0165,0.031,0.1532,0.4277,0.0551,0.4358,0.0331,0.4014,0.1829,0.4168,0.1829
245,0.0215,0.031,0.1554,0.4295,0.1193,0.4379,0.11,0.4085,0.2713,0.4042,0.2713
246,0.0359,0.031,0.1616,0.4266,0.2737,0.4421,0.2672,0.4314,0.4659,0.4259,0.4659
247,0.0206,0.031,0.155,0.4215,0.27,0.4476,0.3077,0.4605,0.5328,0.2931,0.5328
248,0.0106,0.031,0.1506,0.4014,0.0916,0.3075,0.2163,0.3353,0.28,0.2025,0.28
249,0.0192,0.031,0.1544,0.3848,0.011,0.2062,0.1584,0.3692,0.1158,0.0369,0.1158
250,0.0309,0.031,0.1595,0.3862,0.0389,0.2362,0.1264,0.454,0.0398,0.022,0.0398
