,SummerHDP,SummerLD-TOU,SummerMildHDP,SummerHDPg,FallHDP,FallHDPg,WinterHDP,WinterHDPg,SpringHDP,SpringHDPg,TwoPeakHDP
6485,0.0215,0.031,0.1554,0.4295,0.1193,0.4379,0.11,0.4085,0.2713,0.4042,0.2713
6486,0.0359,0.031,0.1616,0.4266,0.2737,0.4421,0.2672,0.4314,0.4659,0.4259,0.4659
6487,0.0206,0.031,0.155,0.4215,0.27,0.4476,0.3077,0.4605,0.5328,0.2931,0.5328
6488,0.0106,0.031,0.1506,0.4014,0.0916,0.3075,0.2163,0.3353,0.28,0.2025,0.28
6489,0.0192,0.031,0.1544,0.3848,0.011,0.2062,0.1584,0.3692,0.1158,0.0369,0.1158
6490,0.0309,0.031,0.1595,0.3862,0.0389,0.2362,0.1264,0.454,0.0398,0.022,0.0398
6491,0.0612,0.031,0.1727,0.3994,0.0238,0.2906,0.1047,0.448,0.0196,0.0222,0.0196
6492,0.0925,0.031,0.1864,0.4211,0.0366,0.3834,0.1318,0.3315,0.011,0.0222,0.011
6493,0.1244,0.031,0.2003,0.4017,0.0611,0.3224,0.1835,0.296,0.0188,0.0215,0.0188
6494,0.1667,0.2637,0.2188,0.4372,0.0998,0.3166,0.2485,0.0669,0.0255,0.0212,0.0255
6495,0.2148,0.2637,0.2398,0.4249,0.1888,0.4028,0.3123,0.3313,0.0632,0.0219,0.0632
6496,0.3563,0.6982,0.3016,0.4309,0.3046,0.4318,0.3961,0.4384,0.0957,0.2145,0.0957
